42

5 13 14 16 36 37 
5 12 13 21 22 38 
5 27 28 30 40 41 
5 24 25 26 27 29 
5 12 14 15 17 20 
5 17 18 19 26 28 
5 32 33 34 36 38 
5 29 30 31 33 35 
5 19 20 21 23 25 
5 15 16 18 39 41 
5 22 23 24 31 32 
5 34 35 37 39 40 
6 1 4 13 14 20 21 
6 0 1 12 14 36 38 
6 0 4 12 13 15 16 
6 4 9 14 16 17 18 
6 0 9 14 15 37 39 
6 4 5 15 18 19 20 
6 5 9 15 17 28 41 
6 5 8 17 20 25 26 
6 4 8 12 17 19 21 
6 1 8 12 20 22 23 
6 1 10 21 23 32 38 
6 8 10 21 22 24 25 
6 3 10 23 25 29 31 
6 3 8 19 23 24 26 
6 3 5 19 25 27 28 
6 2 3 26 28 29 30 
6 2 5 18 26 27 41 
6 3 7 24 27 30 31 
6 2 7 27 29 35 40 
6 7 10 24 29 32 33 
6 6 10 22 31 33 38 
6 6 7 31 32 34 35 
6 6 11 33 35 36 37 
6 7 11 30 33 34 40 
6 0 6 13 34 37 38 
6 0 11 16 34 36 39 
6 1 6 13 22 32 36 
6 9 11 16 37 40 41 
6 2 11 30 35 39 41 
6 2 9 18 28 39 40 

